Table 07: Soybeans: World Supply and Distribution


                ,2021/22,2022/23,2023/24,2024/25,Sep 2025/26,Nov 2025/26,
Production,
                            nr,nr,nr,nr,nr,nr,
 Brazil,130500,162000,154500,171500,175000,175000,
 United States,121504,116221,113273,119047,117045,115751,
 Argentina,43900,25000,48210,51108,48500,48500,
 China,16395,20284,20840,20650,21000,21000,
 Paraguay,4183,10250,11000,10200,11000,11000,
 India,11889,12411,11875,12582,11600,10000,
 Russia,4760,5996,6800,7050,8300,8300,
 Other,27407,26198,29861,34999,33422,32197,

    Total,360538,378360,396359,427136,425867,421748,

Imports,
                            nr,nr,nr,nr,nr,nr,
 China,90297,104500,112000,108000,112000,112000,
 European Union,14545,13127,13461,14600,14300,14300,
 Argentina,3839,9059,7787,6324,7200,7700,
 Mexico,6397,6451,6456,6400,6700,6700,
 Egypt,4566,1992,3177,4500,4700,4700,
 Thailand,3243,3238,3428,4190,4400,4200,
 Turkey,2949,2888,3252,4183,3850,4000,
 Japan,3455,3332,3099,3243,3300,3300,
 Taiwan,2622,2559,2577,2768,2950,2950,
 Vietnam,1839,1858,2265,2500,2800,2800,
 Other,21011,19505,20782,22431,24014,23764,

    Total,154763,168509,178284,179139,186214,186414,

Exports,
                            nr,nr,nr,nr,nr,nr,
 Brazil,79063,95530,104191,103143,112000,112500,
 United States,58570,53864,46266,51029,45858,44497,
 Argentina,2861,4185,5114,7868,6000,8250,
 Paraguay,2273,6495,7987,6800,7700,7700,
 Canada,4289,4240,4850,5448,5100,5100,
 Other,7372,7542,9426,10728,11124,9924,

    Total,154428,171856,177834,185016,187782,187971,

Crush,
                            nr,nr,nr,nr,nr,nr,
 China,90000,96000,99000,103500,108000,108000,
 United States,59980,60199,62196,66542,69536,69536,
 Brazil,50767,53409,54405,58000,58000,59000,
 Argentina,38825,30318,36583,43209,42400,41000,
 European Union,15400,14300,14500,15400,15300,15300,
 India,8500,10300,11300,11000,10250,9050,
 Mexico,6350,6650,6530,6650,6800,6800,
 Russia,4900,5400,5900,6225,6300,6300,
 Egypt,4500,2200,3125,4350,4700,4700,
 Bolivia,3100,3300,2600,3100,3100,3100,
 Paraguay,2200,3450,3000,3100,3100,3100,
 Iran,2500,3000,2700,2850,3000,3000,
 Thailand,2500,2100,2400,2700,3200,3000,
 Ukraine,1300,1500,1800,2800,2900,2900,
 Turkey,1800,1700,2300,2850,2500,2800,
 Other,23843,21620,22850,25515,27543,27393,

    Total,316465,315446,331189,357791,366629,364979,

Ending Stocks,
                            nr,nr,nr,nr,nr,nr,
 China,25146,32340,43310,44488,43380,44388,
 Brazil,27386,36801,29722,36811,37261,36361,
 Argentina,23691,16997,24047,23102,23847,22852,
 United States,7468,7190,9319,8614,8168,7885,
 European Union,1572,1259,1283,1543,1830,1508,
 Other,8269,7276,7440,8781,9505,8997,

    Total,93532,101863,115121,123339,123991,121991,
