metric,country,year,value
Production,Brazil,2021/22,130500.0
Production,United States,2021/22,121504.0
Production,Argentina,2021/22,43900.0
Production,China,2021/22,16395.0
Production,Paraguay,2021/22,4183.0
Production,India,2021/22,11889.0
Production,Russia,2021/22,4760.0
Production,Other,2021/22,27407.0
Production,Total,2021/22,360538.0
Imports,China,2021/22,90297.0
Imports,European Union,2021/22,14545.0
Imports,Argentina,2021/22,3839.0
Imports,Mexico,2021/22,6397.0
Imports,Egypt,2021/22,4566.0
Imports,Thailand,2021/22,3243.0
Imports,Turkey,2021/22,2949.0
Imports,Japan,2021/22,3455.0
Imports,Taiwan,2021/22,2622.0
Imports,Vietnam,2021/22,1839.0
Imports,Other,2021/22,21011.0
Imports,Total,2021/22,154763.0
Exports,Brazil,2021/22,79063.0
Exports,United States,2021/22,58570.0
Exports,Argentina,2021/22,2861.0
Exports,Paraguay,2021/22,2273.0
Exports,Canada,2021/22,4289.0
Exports,Other,2021/22,7372.0
Exports,Total,2021/22,154428.0
Crush,China,2021/22,90000.0
Crush,United States,2021/22,59980.0
Crush,Brazil,2021/22,50767.0
Crush,Argentina,2021/22,38825.0
Crush,European Union,2021/22,15400.0
Crush,India,2021/22,8500.0
Crush,Mexico,2021/22,6350.0
Crush,Russia,2021/22,4900.0
Crush,Egypt,2021/22,4500.0
Crush,Bolivia,2021/22,3100.0
Crush,Paraguay,2021/22,2200.0
Crush,Iran,2021/22,2500.0
Crush,Thailand,2021/22,2500.0
Crush,Ukraine,2021/22,1300.0
Crush,Turkey,2021/22,1800.0
Crush,Other,2021/22,23843.0
Crush,Total,2021/22,316465.0
Ending Stocks,China,2021/22,25146.0
Ending Stocks,Brazil,2021/22,27386.0
Ending Stocks,Argentina,2021/22,23691.0
Ending Stocks,United States,2021/22,7468.0
Ending Stocks,European Union,2021/22,1572.0
Ending Stocks,Other,2021/22,8269.0
Ending Stocks,Total,2021/22,93532.0
Production,Brazil,2022/23,162000.0
